# cms
# cms pss sus-16-039
# 3 leptons
# sqrt(s) = 13 TeV
# int(L) = 35.9fb^-1

Inputfile:
XSect:           46 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50000
 SumOfWeights2:  50000
 NormEvents:     1651.4

SR      Sum_W  Sum_W2  Acc      N_Norm    
SR_A01  43     43      0.00086  1.4202    
SR_A02  22     22      0.00044  0.726616  
SR_A03  23     23      0.00046  0.759644  
SR_A04  22     22      0.00044  0.726616  
SR_A05  82     82      0.00164  2.7083    
SR_A06  34     34      0.00068  1.12295   
SR_A07  31     31      0.00062  1.02387   
SR_A08  22     22      0.00044  0.726616  
SR_A09  39     39      0.00078  1.28809   
SR_A10  34     34      0.00068  1.12295   
SR_A11  95     95      0.0019   3.13766   
SR_A12  126    126     0.00252  4.16153   
SR_A13  133    133     0.00266  4.39272   
SR_A14  387    387     0.00774  12.7818   
SR_A15  9      9       0.00018  0.297252  
SR_A16  4      4       8e-05    0.132112  
SR_A17  4      4       8e-05    0.132112  
SR_A18  5      5       0.0001   0.16514   
SR_A19  9      9       0.00018  0.297252  
SR_A20  1      1       2e-05    0.033028  
SR_A21  3      3       6e-05    0.099084  
SR_A22  3      3       6e-05    0.099084  
SR_A23  9      9       0.00018  0.297252  
SR_A24  5      5       0.0001   0.16514   
SR_A25  7      7       0.00014  0.231196  
SR_A26  4      4       8e-05    0.132112  
SR_A27  15     15      0.0003   0.49542   
SR_A28  9      9       0.00018  0.297252  
SR_A29  11     11      0.00022  0.363308  
SR_A30  28     28      0.00056  0.924784  
SR_A31  15     15      0.0003   0.49542   
SR_A32  7      7       0.00014  0.231196  
SR_A33  6      6       0.00012  0.198168  
SR_A34  4      4       8e-05    0.132112  
SR_A35  1      1       2e-05    0.033028  
SR_A36  11     11      0.00022  0.363308  
SR_A37  1      1       2e-05    0.033028  
SR_A38  0      0       0        0         
SR_A39  4      4       8e-05    0.132112  
SR_A40  5      5       0.0001   0.16514   
SR_A41  2      2       4e-05    0.066056  
SR_A42  2      2       4e-05    0.066056  
SR_A43  3      3       6e-05    0.099084  
SR_A44  31     31      0.00062  1.02387   
SR_B01  1      1       2e-05    0.033028  
SR_B02  3      3       6e-05    0.099084  
SR_B03  0      0       0        0         
SR_B04  0      0       0        0         
SR_B05  1      1       2e-05    0.033028  
SR_B06  0      0       0        0         
SR_C01  5      5       0.0001   0.16514   
SR_C02  3      3       6e-05    0.099084  
SR_C03  1      1       2e-05    0.033028  
SR_C04  2      2       4e-05    0.066056  
SR_C05  2      2       4e-05    0.066056  
SR_C06  0      0       0        0         
SR_C07  0      0       0        0         
SR_C08  0      0       0        0         
SR_C09  0      0       0        0         
SR_C10  0      0       0        0         
SR_C11  2      2       4e-05    0.066056  
SR_C12  1      1       2e-05    0.033028  
SR_C13  2      2       4e-05    0.066056  
SR_C14  1      1       2e-05    0.033028  
SR_C15  1      1       2e-05    0.033028  
SR_C16  1      1       2e-05    0.033028  
SR_C17  3      3       6e-05    0.099084  
SR_C18  17     17      0.00034  0.561476  
SR_D01  0      0       0        0         
SR_D02  0      0       0        0         
SR_D03  0      0       0        0         
SR_D04  0      0       0        0         
SR_D05  1      1       2e-05    0.033028  
SR_D06  2      2       4e-05    0.066056  
SR_D07  0      0       0        0         
SR_D08  1      1       2e-05    0.033028  
SR_D09  0      0       0        0         
SR_D10  0      0       0        0         
SR_D11  0      0       0        0         
SR_D12  0      0       0        0         
SR_D13  1      1       2e-05    0.033028  
SR_D14  1      1       2e-05    0.033028  
SR_D15  2      2       4e-05    0.066056  
SR_D16  6      6       0.00012  0.198168  
SR_E01  0      0       0        0         
SR_E02  0      0       0        0         
SR_E03  0      0       0        0         
SR_E04  0      0       0        0         
SR_E05  2      2       4e-05    0.066056  
SR_E06  2      2       4e-05    0.066056  
SR_E07  2      2       4e-05    0.066056  
SR_E08  2      2       4e-05    0.066056  
SR_E09  0      0       0        0         
SR_E10  0      0       0        0         
SR_E11  1      1       2e-05    0.033028  
SR_E12  19     19      0.00038  0.627532  
SR_F01  2      2       4e-05    0.066056  
SR_F02  2      2       4e-05    0.066056  
