# cms
# cms pss sus-16-039
# 3 leptons
# sqrt(s) = 13 TeV
# int(L) = 35.9fb^-1

Inputfile:
XSect:           1800 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50000
 SumOfWeights2:  50000
 NormEvents:     64620

SR      Sum_W  Sum_W2  Acc      N_Norm   
SR_A01  5      5       0.0001   6.462    
SR_A02  0      0       0        0        
SR_A03  0      0       0        0        
SR_A04  0      0       0        0        
SR_A05  1      1       2e-05    1.2924   
SR_A06  1      1       2e-05    1.2924   
SR_A07  1      1       2e-05    1.2924   
SR_A08  0      0       0        0        
SR_A09  0      0       0        0        
SR_A10  1      1       2e-05    1.2924   
SR_A11  0      0       0        0        
SR_A12  1      1       2e-05    1.2924   
SR_A13  0      0       0        0        
SR_A14  0      0       0        0        
SR_A15  102    102     0.00204  131.825  
SR_A16  46     46      0.00092  59.4504  
SR_A17  11     11      0.00022  14.2164  
SR_A18  12     12      0.00024  15.5088  
SR_A19  16     16      0.00032  20.6784  
SR_A20  1      1       2e-05    1.2924   
SR_A21  0      0       0        0        
SR_A22  40     40      0.0008   51.696   
SR_A23  38     38      0.00076  49.1112  
SR_A24  18     18      0.00036  23.2632  
SR_A25  14     14      0.00028  18.0936  
SR_A26  7      7       0.00014  9.0468   
SR_A27  22     22      0.00044  28.4328  
SR_A28  6      6       0.00012  7.7544   
SR_A29  1      1       2e-05    1.2924   
SR_A30  3      3       6e-05    3.8772   
SR_A31  1      1       2e-05    1.2924   
SR_A32  2      2       4e-05    2.5848   
SR_A33  0      0       0        0        
SR_A34  0      0       0        0        
SR_A35  0      0       0        0        
SR_A36  1      1       2e-05    1.2924   
SR_A37  0      0       0        0        
SR_A38  0      0       0        0        
SR_A39  0      0       0        0        
SR_A40  0      0       0        0        
SR_A41  0      0       0        0        
SR_A42  0      0       0        0        
SR_A43  1      1       2e-05    1.2924   
SR_A44  0      0       0        0        
SR_B01  1      1       2e-05    1.2924   
SR_B02  0      0       0        0        
SR_B03  0      0       0        0        
SR_B04  0      0       0        0        
SR_B05  0      0       0        0        
SR_B06  0      0       0        0        
SR_C01  1      1       2e-05    1.2924   
SR_C02  2      2       4e-05    2.5848   
SR_C03  0      0       0        0        
SR_C04  0      0       0        0        
SR_C05  0      0       0        0        
SR_C06  24     24      0.00048  31.0176  
SR_C07  15     15      0.0003   19.386   
SR_C08  2      2       4e-05    2.5848   
SR_C09  3      3       6e-05    3.8772   
SR_C10  2      2       4e-05    2.5848   
SR_C11  0      0       0        0        
SR_C12  0      0       0        0        
SR_C13  1      1       2e-05    1.2924   
SR_C14  0      0       0        0        
SR_C15  0      0       0        0        
SR_C16  0      0       0        0        
SR_C17  2      2       4e-05    2.5848   
SR_C18  1      1       2e-05    1.2924   
SR_D01  0      0       0        0        
SR_D02  1      1       2e-05    1.2924   
SR_D03  0      0       0        0        
SR_D04  0      0       0        0        
SR_D05  0      0       0        0        
SR_D06  0      0       0        0        
SR_D07  0      0       0        0        
SR_D08  0      0       0        0        
SR_D09  0      0       0        0        
SR_D10  0      0       0        0        
SR_D11  0      0       0        0        
SR_D12  0      0       0        0        
SR_D13  0      0       0        0        
SR_D14  0      0       0        0        
SR_D15  0      0       0        0        
SR_D16  0      0       0        0        
